Protocol ID,Protocol name,Measurement date & time,Completion status,Run ID,Rack,Det,Pos,Time,Sample code,Cu-64 Counts,Cu-64 CPM,Cu-64 Error %,Cu-64 Info,Coordinates,
51,Cu-64 Counts,3/11/2021 18:00,0,1889,1,1,1,60.06,,1036.59,1014.01,3.14,,"[7,-1,0]",
51,Cu-64 Counts,3/11/2021 18:01,0,1889,1,1,2,60.04,,1230.56,1209.76,2.88,,"[7,0,0]",
51,Cu-64 Counts,3/11/2021 18:02,0,1889,1,1,3,60.05,,953.49,933.12,3.28,,"[7,1,0]",
51,Cu-64 Counts,3/11/2021 18:03,0,1889,1,1,4,60.05,,332.29,310.94,5.68,I,"[7,2,0]",
51,Cu-64 Counts,3/11/2021 18:05,0,1889,1,1,5,60.04,,1372.36,1356.29,2.72,,"[6,-1,0]",
51,Cu-64 Counts,3/11/2021 18:06,0,1889,1,1,6,60.05,,1213.49,1197.71,2.9,,"[6,0,0]",
51,Cu-64 Counts,3/11/2021 18:07,0,1889,1,1,7,60.04,,1250.73,1236.85,2.85,,"[6,1,0]",
51,Cu-64 Counts,3/11/2021 18:08,0,1889,1,1,8,60.06,,435.73,416.53,4.92,I,"[6,2,0]",
51,Cu-64 Counts,3/11/2021 18:09,0,1889,1,1,9,60.04,,515.95,498.05,4.5,,"[6,3,0]",
51,Cu-64 Counts,3/11/2021 18:11,0,1889,1,1,10,60.03,,1682.73,1677.54,2.45,,"[5,-2,0]",
51,Cu-64 Counts,3/11/2021 18:12,0,1889,2,1,1,60.05,,1372.91,1366.21,2.72,,"[5,-1,0]",
51,Cu-64 Counts,3/11/2021 18:14,0,1889,2,1,2,60.04,,1568.16,1565.94,2.54,,"[5,0,0]",
51,Cu-64 Counts,3/11/2021 18:15,0,1889,2,1,3,60.05,,1359.24,1355.45,2.74,,"[5,1,0]",
51,Cu-64 Counts,3/11/2021 18:16,0,1889,2,1,4,60.03,,1445.01,1444.63,2.65,,"[5,2,0]",
51,Cu-64 Counts,3/11/2021 18:17,0,1889,2,1,5,60.04,,1197.68,1194.47,2.92,,"[5,3,0]",
51,Cu-64 Counts,3/11/2021 18:19,0,1889,2,1,6,60.05,,2915.01,2943,1.86,,"[4,-2,0]",
51,Cu-64 Counts,3/11/2021 18:20,0,1889,2,1,7,60.03,,3278.51,3317.6,1.75,,"[4,-1,0]",
51,Cu-64 Counts,3/11/2021 18:21,0,1889,2,1,8,60.04,,8015.04,8156.08,1.12,,"[4,0,0]",
